Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,0,Travel_Rarely,572,Sales,10,3,Medical,1,1836,3,Male,46,3,2,Sales Executive,4,Single,6323.400000000001,9125,1,Y,No,13,3,1,80,0,5.0,4,3,5,3,1,2
62,0,,1216,Research & Development,15,4,Life Sciences,1,1837,1,Male,87,3,4,Research Director,3,Married,21312.45,21624,2,Y,Yes,14,3,2,80,0,23.0,3,3,2,2,2,2
22,0,Non-Travel,1431,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,2043.9,8018,1,Y,No,16,3,3,80,0,0.0,4,1,0,0,0,0
35,1,Travel_Rarely,359,Human Resources,18,5,Human Resources,1,1842,4,Male,89,4,1,Human Resources,1,Married,3990.6000000000004,21495,0,Y,No,17,3,3,80,0,2.0,4,3,1,0,0,0
33,1,Travel_Rarely,350,Human Resources,13,3,Human Resources,1,1844,1,Male,56,2,1,Human Resources,1,Divorced,3152.25,3157,4,Y,Yes,15,3,4,80,3,4.0,3,3,2,2,2,0
49,0,Non-Travel,589,Sales,2,4,Life Sciences,1,1845,3,Female,67,3,2,Sales Executive,3,Married,6957.900000000001,19665,4,Y,No,22,4,2,80,2,10.0,3,4,8,7,5,7
40,0,Travel_Rarely,430,Research & Development,2,4,Other,1,1847,4,Female,73,3,2,Research Scientist,2,Married,9398.7,19573,4,Y,Yes,22,4,4,80,1,15.0,2,3,1,0,0,0
47,0,Travel_Frequently,1422,Sales,2,4,Life Sciences,1,1849,1,Male,92,3,2,Sales Executive,4,Married,7661.250000000001,19246,1,Y,No,20,4,3,80,1,7.0,5,3,7,7,7,7
31,0,Travel_Frequently,1297,Research & Development,5,2,Life Sciences,1,1850,4,Female,53,3,1,Laboratory Technician,4,Single,3211.65,19826,0,Y,Yes,14,3,3,80,0,6.0,3,2,5,4,0,2
33,0,Travel_Frequently,574,Research & Development,20,1,Medical,1,1852,4,Male,40,3,1,Laboratory Technician,4,Married,5146.200000000001,7003,1,Y,No,13,3,2,80,0,11.0,3,4,11,8,3,10
36,0,Travel_Frequently,1318,Sales,10,4,Marketing,1,1853,4,Male,79,3,2,Sales Executive,4,Single,6274.8,26075,8,Y,No,13,3,3,80,0,4.0,2,4,0,0,0,0
46,0,Non-Travel,355,Research & Development,10,4,Technical Degree,1,1854,3,Male,38,3,1,Research Scientist,3,Married,3963.6000000000004,6161,3,Y,No,22,4,2,80,2,10.0,1,2,6,3,3,3
51,0,Travel_Rarely,207,Research & Development,9,4,Life Sciences,1,1856,2,Female,64,3,1,Laboratory Technician,3,Single,2841.75,5411,4,Y,No,12,3,3,80,0,7.0,2,3,2,2,2,0
50,0,Travel_Rarely,706,Research & Development,2,2,Life Sciences,1,1857,4,Male,82,3,3,Manufacturing Director,4,Divorced,11580.300000000001,19989,3,Y,No,14,3,3,80,1,12.0,4,2,9,8,4,7
32,0,Non-Travel,280,Human Resources,1,2,Life Sciences,1,1858,3,Male,43,3,1,Human Resources,4,Divorced,3653.1000000000004,10494,1,Y,No,15,3,2,80,1,3.0,2,3,3,2,2,2
33,0,Travel_Rarely,726,Research & Development,29,1,Life Sciences,1,1859,4,Male,93,1,2,Healthcare Representative,3,Divorced,8618.400000000001,21143,8,Y,No,17,3,4,80,2,11.0,3,3,7,0,1,6
46,0,Travel_Rarely,1142,Research & Development,8,3,Life Sciences,1,1860,4,Male,81,3,1,Laboratory Technician,3,Single,5356.8,13624,4,Y,No,13,3,4,80,0,8.0,3,3,0,0,0,0
36,1,Travel_Rarely,414,Sales,2,4,Marketing,1,1862,3,Male,82,2,2,Sales Executive,2,Single,13374.45,26186,7,Y,Yes,12,3,3,80,0,7.0,3,2,2,2,2,2
50,0,Travel_Rarely,1319,Sales,3,3,Technical Degree,1,1863,1,Female,45,4,4,Sales Executive,1,Divorced,17853.75,7739,2,Y,No,12,3,4,80,1,25.0,5,3,19,17,2,8
31,0,Travel_Rarely,728,Sales,23,1,Medical,1,1864,2,Female,36,2,2,Sales Representative,3,Married,4779.0,7018,1,Y,No,21,4,4,80,1,9.0,5,3,9,8,5,8
33,0,Travel_Rarely,352,Human Resources,6,1,Medical,1,1865,4,Male,87,2,1,Human Resources,2,Married,3785.4,15434,1,Y,No,11,3,4,80,0,1.0,3,3,1,0,0,0
47,0,Travel_Rarely,823,Research & Development,6,3,Medical,1,1866,1,Female,81,2,5,Manager,3,Married,26179.2,22539,7,Y,No,13,3,4,80,0,21.0,2,3,16,12,6,14
52,0,Travel_Rarely,1224,Research & Development,10,3,Life Sciences,1,1867,4,Male,91,2,5,Research Director,2,Married,26547.75,13583,4,Y,No,12,3,4,80,0,29.0,3,3,22,10,12,9
33,1,Travel_Frequently,459,Research & Development,24,2,Life Sciences,1,1868,4,Male,73,2,1,Research Scientist,4,Single,3292.65,14753,1,Y,Yes,24,4,2,80,0,1.0,3,2,1,0,1,0
50,1,Travel_Rarely,1254,Sales,10,3,Life Sciences,1,1869,3,Female,64,3,3,Sales Executive,2,Married,9873.900000000001,14011,5,Y,No,21,4,3,80,3,14.0,2,3,8,7,0,7
31,0,Travel_Frequently,1131,Research & Development,15,3,Life Sciences,1,1870,4,Female,77,2,1,Research Scientist,1,Married,6444.900000000001,23844,0,Y,No,19,3,4,80,1,8.0,2,2,7,6,7,3
43,0,Travel_Rarely,835,Research & Development,19,4,Other,1,1871,4,Male,41,3,2,Research Scientist,4,Divorced,5267.700000000001,5141,8,Y,No,14,3,2,80,3,7.0,2,3,2,2,2,2
59,0,Travel_Rarely,836,Research & Development,2,4,Technical Degree,1,1873,2,Male,98,2,1,Research Scientist,4,Married,3593.7000000000003,7975,8,Y,No,20,4,2,80,1,19.0,2,4,5,2,0,4
32,0,Travel_Rarely,1172,Sales,3,3,Medical,1,1875,2,Female,78,3,1,Sales Representative,2,Married,3855.6000000000004,3692,1,Y,No,19,3,4,80,1,1.0,3,3,1,0,0,0
34,1,Travel_Rarely,945,Sales,9,3,Medical,1,1876,2,Male,89,3,1,Sales Representative,4,Single,1459.3500000000001,16019,1,Y,No,13,3,3,80,0,1.0,3,2,1,0,0,0
26,1,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,3337.2000000000003,26092,1,Y,Yes,23,4,1,80,0,,2,3,1,0,0,0
40,0,Travel_Rarely,1266,Sales,10,4,Technical Degree,1,1880,2,Female,63,2,2,Sales Executive,3,Married,7658.55,6060,1,Y,Yes,13,3,1,80,1,10.0,4,3,10,9,1,7
35,0,Travel_Rarely,311,Research & Development,20,3,Life Sciences,1,1881,2,Male,89,3,2,Laboratory Technician,3,Divorced,5665.950000000001,18624,1,Y,No,11,3,1,80,1,10.0,2,3,10,8,0,2
38,0,Travel_Rarely,1480,Sales,4,3,Life Sciences,1,1882,3,Male,64,3,3,Sales Executive,4,Married,13112.550000000001,24444,2,Y,Yes,13,3,4,80,3,9.0,3,3,5,3,1,0
33,0,Travel_Rarely,592,Research & Development,7,3,Life Sciences,1,1883,4,Male,59,3,1,Laboratory Technician,1,Single,2783.7000000000003,19384,3,Y,No,14,3,2,80,0,11.0,2,3,3,2,1,2
41,0,Travel_Rarely,783,Research & Development,7,4,Medical,1,1885,4,Male,78,3,2,Research Scientist,1,Married,5783.400000000001,13588,5,Y,Yes,22,4,3,80,1,16.0,2,3,5,3,0,4
39,0,Travel_Rarely,219,Research & Development,16,2,Other,1,1886,4,Female,44,2,2,Manufacturing Director,2,Married,6463.8,25388,0,Y,Yes,11,3,4,80,0,4.0,2,3,3,2,0,2
49,0,Travel_Rarely,556,Research & Development,25,2,Life Sciences,1,1888,2,Female,93,2,2,Manufacturing Director,4,Married,7973.1,23888,0,Y,No,13,3,4,80,2,10.0,2,2,9,8,3,8
40,0,,1213,Human Resources,2,1,Human Resources,1,1890,2,Male,94,2,2,Human Resources,4,Single,5246.1,4223,1,Y,No,21,4,4,80,0,10.0,2,2,10,1,0,8
44,0,,1137,Research & Development,1,4,Life Sciences,1,1892,1,Male,98,3,4,Manager,1,Divorced,22711.050000000003,18991,2,Y,No,11,3,1,80,1,22.0,3,3,19,7,11,16
30,0,Travel_Rarely,482,Research & Development,1,2,Life Sciences,1,1893,2,Female,90,2,1,Research Scientist,3,Married,3959.55,14908,1,Y,Yes,13,3,3,80,1,,3,2,1,0,1,0
31,0,Travel_Rarely,511,Sales,2,2,Medical,1,1898,1,Female,89,4,2,Sales Executive,3,Single,8775.0,26997,0,Y,No,14,3,2,80,0,9.0,5,2,8,7,0,7
52,0,Travel_Frequently,117,Research & Development,22,3,Medical,1,1900,4,Female,58,3,4,Manager,4,Divorced,23184.9,2437,3,Y,No,11,3,2,80,1,24.0,3,3,22,17,4,7
48,0,Travel_Rarely,170,Research & Development,1,4,Life Sciences,1,1903,2,Male,78,4,2,Healthcare Representative,1,Married,6794.55,9364,2,Y,No,15,3,4,80,1,10.0,5,3,2,0,2,2
38,1,Non-Travel,967,Research & Development,16,4,Technical Degree,1,1905,4,Male,85,1,1,Research Scientist,1,Married,3114.4500000000003,14460,1,Y,Yes,23,4,2,80,1,5.0,2,3,5,2,3,0
60,1,Travel_Rarely,1162,Research & Development,24,2,Life Sciences,1,1907,1,Male,97,3,1,Laboratory Technician,4,Single,3492.4500000000003,10261,1,Y,No,16,3,4,80,0,5.0,3,3,4,2,1,0
40,0,Travel_Rarely,335,Sales,17,2,Marketing,1,1908,3,Male,33,2,2,Sales Executive,2,Married,7434.450000000001,16822,2,Y,No,16,3,3,80,2,12.0,1,1,4,2,1,3
45,0,Travel_Rarely,337,Sales,8,3,Marketing,1,1909,3,Female,54,3,2,Sales Executive,2,Married,5930.55,26841,5,Y,No,21,4,3,80,1,14.0,3,3,5,4,1,4
46,0,Travel_Rarely,1396,Research & Development,6,3,Medical,1,1911,3,Male,83,3,3,Research Director,1,Married,18019.800000000003,14842,9,Y,No,13,3,2,80,1,18.0,3,4,13,7,5,7
35,0,Travel_Rarely,1079,Sales,10,2,Medical,1,1912,3,Female,86,3,2,Sales Executive,4,Divorced,8887.050000000001,20115,2,Y,Yes,11,3,4,80,1,8.0,2,3,5,2,1,4
38,0,,735,Sales,3,1,Medical,1,1915,4,Female,75,2,2,Sales Executive,4,Married,10939.050000000001,16495,3,Y,Yes,12,3,3,80,0,9.0,3,2,4,2,0,1
35,0,Travel_Rarely,471,Research & Development,4,3,Medical,1,1916,1,Female,62,4,1,Laboratory Technician,3,Divorced,5370.3,16031,8,Y,No,12,3,2,80,1,4.0,0,2,2,2,2,2
30,0,Travel_Frequently,1096,Research & Development,6,3,Other,1,1918,3,Male,61,4,1,Laboratory Technician,4,Married,3434.4,7102,0,Y,No,18,3,1,80,1,8.0,3,3,7,7,7,7
49,0,Travel_Frequently,1297,Research & Development,1,4,Medical,1,1922,2,Male,44,3,2,Healthcare Representative,3,Single,7288.650000000001,14511,4,Y,No,12,3,3,80,0,12.0,3,3,4,2,0,3
37,0,Travel_Rarely,217,Sales,10,4,Marketing,1,1924,2,Male,43,3,2,Sales Executive,3,Single,7407.450000000001,10410,1,Y,No,14,3,2,80,0,10.0,2,2,10,4,0,9
32,0,Travel_Frequently,783,Sales,1,2,Life Sciences,1,1927,3,Male,42,2,2,Sales Executive,4,Married,9225.900000000001,19255,1,Y,Yes,12,3,3,80,1,7.0,2,3,7,7,0,7
33,1,Travel_Frequently,746,Sales,24,3,Technical Degree,1,1928,3,Male,45,4,1,Sales Representative,1,Single,1472.8500000000001,10642,1,Y,No,17,3,4,80,0,1.0,3,3,1,0,0,0
43,0,Non-Travel,1251,Sales,21,4,Life Sciences,1,1929,1,Female,32,1,2,Sales Executive,3,Married,7743.6,3987,6,Y,No,19,3,3,80,1,10.0,1,3,3,2,1,2
31,0,,1354,Research & Development,2,4,Technical Degree,1,1931,2,Male,41,3,1,Research Scientist,2,Married,3005.1000000000004,6073,1,Y,No,11,3,3,80,1,6.0,3,2,5,3,1,2
38,0,Travel_Frequently,735,Research & Development,22,4,Other,1,1932,3,Male,86,2,2,Research Scientist,4,Married,7758.450000000001,26496,1,Y,Yes,15,3,2,80,0,16.0,3,3,15,10,6,11
32,1,Travel_Rarely,1475,Sales,13,2,Marketing,1,1933,4,Female,84,3,2,Sales Executive,3,Single,13302.900000000001,23352,3,Y,Yes,11,3,4,80,0,6.0,0,3,2,0,2,2
51,0,Non-Travel,1169,Research & Development,14,4,Technical Degree,1,1934,3,Male,64,3,2,Research Scientist,2,Married,7380.450000000001,2125,8,Y,No,18,3,3,80,1,16.0,4,4,8,7,1,7
60,0,Travel_Rarely,1443,Sales,11,5,Marketing,1,1935,4,Female,89,2,2,Sales Executive,1,Married,7263.000000000001,20328,4,Y,No,16,3,3,80,1,6.0,3,3,0,0,0,0
43,0,Travel_Rarely,867,Research & Development,9,2,Medical,1,1936,1,Male,87,3,2,Manufacturing Director,1,Married,6953.85,12315,1,Y,No,25,4,4,80,1,10.0,3,3,10,0,7,9
42,0,Travel_Frequently,1394,Research & Development,8,3,Medical,1,1937,4,Female,58,2,2,Research Scientist,2,Divorced,2879.55,18115,1,Y,Yes,16,3,3,80,1,20.0,3,3,20,11,0,7
62,0,Travel_Rarely,605,Sales,21,3,Life Sciences,1,1938,4,Female,72,3,4,Manager,4,Married,24131.25,11761,4,Y,Yes,13,3,3,80,1,29.0,2,2,1,0,0,0
36,1,Travel_Frequently,238,Research & Development,5,2,Life Sciences,1,1939,1,Female,47,4,1,Research Scientist,3,Single,3283.2000000000003,15318,3,Y,Yes,14,3,1,80,0,8.0,2,3,4,1,0,3
42,0,Travel_Rarely,1206,Research & Development,9,2,Life Sciences,1,1940,2,Male,71,3,1,Research Scientist,4,Divorced,6440.85,14293,2,Y,No,19,3,4,80,2,10.0,0,4,5,2,0,3
53,0,Travel_Frequently,1064,Research & Development,2,1,Life Sciences,1,1941,2,Male,42,3,5,Research Director,4,Married,25867.350000000002,13738,3,Y,No,15,3,4,80,0,28.0,3,3,5,4,4,3
46,0,Travel_Rarely,419,Sales,12,4,Marketing,1,1943,2,Male,77,3,2,Sales Executive,4,Divorced,6867.450000000001,2900,3,Y,Yes,12,3,3,80,2,14.0,4,3,0,0,0,0
31,1,Travel_Frequently,1337,Human Resources,22,3,Human Resources,1,1944,1,Female,58,2,1,Human Resources,2,Married,3865.05,19555,1,Y,No,12,3,1,80,0,1.0,2,3,1,0,0,0
39,0,Travel_Rarely,682,Sales,18,4,Medical,1,1945,2,Male,71,3,2,Sales Executive,1,Married,7507.35,15975,0,Y,No,16,3,4,80,1,6.0,2,1,5,3,0,4
32,0,Non-Travel,1103,Research & Development,16,3,Medical,1,1947,3,Male,49,3,1,Research Scientist,3,Single,2894.4,2122,1,Y,No,14,3,3,80,0,5.0,3,2,5,3,1,4
35,0,Non-Travel,976,Research & Development,3,2,Medical,1,1948,3,Male,48,3,1,Research Scientist,1,Divorced,4137.75,3995,1,Y,Yes,13,3,4,80,1,4.0,3,4,4,2,2,3
40,0,Non-Travel,1351,Research & Development,9,4,Life Sciences,1,1949,1,Male,66,4,1,Laboratory Technician,2,Married,3793.5000000000005,9238,1,Y,No,22,4,2,80,0,5.0,3,3,5,4,0,2
38,0,Travel_Rarely,937,Sales,1,3,Marketing,1,1950,1,Male,32,3,3,Sales Executive,4,Single,13348.800000000001,6770,1,Y,No,21,4,1,80,0,14.0,3,2,14,8,2,1
38,0,Travel_Rarely,1239,Sales,13,4,Medical,1,1951,4,Male,39,3,3,Sales Executive,3,Divorced,11647.800000000001,22914,1,Y,No,18,3,3,80,1,9.0,2,2,8,7,1,1
30,0,Travel_Rarely,157,Research & Development,1,3,Medical,1,1952,3,Male,95,3,1,Laboratory Technician,1,Single,3870.4500000000003,20006,0,Y,No,13,3,4,80,0,8.0,6,2,7,7,7,6
33,0,,136,Research & Development,1,3,Life Sciences,1,1954,1,Male,89,3,2,Healthcare Representative,1,Married,7253.55,6225,0,Y,No,12,3,1,80,1,6.0,5,2,5,3,0,2
36,0,,1146,Research & Development,15,4,Medical,1,1955,3,Female,34,3,2,Healthcare Representative,4,Divorced,9000.45,16542,5,Y,No,18,3,2,80,1,9.0,6,3,5,1,1,2
35,0,Travel_Frequently,1125,Research & Development,1,3,Life Sciences,1,1956,4,Male,48,1,2,Research Scientist,1,Married,6754.05,5771,1,Y,No,21,4,2,80,0,10.0,6,3,10,8,8,7
32,1,Travel_Rarely,1404,Research & Development,17,3,Technical Degree,1,1960,3,Male,32,2,1,Laboratory Technician,4,Divorced,3195.4500000000003,18779,5,Y,No,12,3,1,80,1,6.0,2,2,4,1,0,3
42,0,Travel_Rarely,1404,Sales,1,3,Life Sciences,1,1961,1,Male,59,2,1,Sales Representative,1,Single,3858.3,11473,4,Y,No,14,3,1,80,0,20.0,3,2,1,0,0,0
39,0,Travel_Rarely,1224,Sales,7,4,Life Sciences,1,1962,3,Female,55,3,2,Sales Executive,4,Married,7025.400000000001,13586,1,Y,Yes,11,3,4,80,0,10.0,2,3,10,8,0,9
31,0,Travel_Rarely,954,Sales,9,3,Marketing,1,1965,4,Male,44,3,2,Sales Executive,4,Single,5541.75,5099,1,Y,No,14,3,1,80,0,7.0,5,3,7,7,0,7
36,0,Travel_Rarely,1373,Research & Development,5,4,Life Sciences,1,1966,4,Male,56,2,2,Manufacturing Director,4,Single,13066.650000000001,10138,8,Y,No,24,4,2,80,0,8.0,1,3,1,0,0,0
35,1,Travel_Frequently,754,Sales,26,4,Marketing,1,1967,1,Male,63,3,2,Sales Executive,4,Married,7582.950000000001,21075,1,Y,Yes,11,3,3,80,0,10.0,4,3,10,7,0,8
57,1,Travel_Rarely,1168,Sales,24,4,Life Sciences,1,1968,1,Male,66,3,3,Sales Executive,1,Single,14104.800000000001,5843,6,Y,Yes,13,3,2,80,0,15.0,2,2,2,2,2,2
58,0,Travel_Rarely,155,Research & Development,9,2,Life Sciences,1,1969,1,Female,67,3,2,Research Scientist,3,Married,3910.9500000000003,22474,3,Y,No,11,3,3,80,2,9.0,6,2,4,3,2,3
37,0,Travel_Frequently,1303,Research & Development,7,2,Life Sciences,1,1970,4,Male,36,3,2,Healthcare Representative,3,Divorced,8056.8,18079,1,Y,No,20,4,3,80,3,9.0,2,3,9,7,2,8
47,0,Travel_Rarely,574,Research & Development,11,3,Life Sciences,1,1971,1,Male,30,3,3,Healthcare Representative,3,Married,10138.5,16873,1,Y,No,17,3,2,80,1,10.0,1,3,10,9,0,9
42,0,Travel_Frequently,1444,Human Resources,1,4,Other,1,1972,4,Male,88,3,1,Human Resources,2,Married,4037.8500000000004,5224,0,Y,Yes,11,3,2,80,1,7.0,2,3,6,2,1,2
59,0,Travel_Rarely,189,Human Resources,26,4,Human Resources,1,1973,3,Male,71,4,5,Manager,2,Married,26508.600000000002,25811,4,Y,Yes,18,3,1,80,1,35.0,0,3,10,9,1,4
35,0,Travel_Rarely,1276,Research & Development,2,1,Medical,1,1974,4,Female,59,1,1,Laboratory Technician,4,Divorced,1524.15,17536,1,Y,Yes,11,3,3,80,3,,4,3,1,0,0,0
43,0,Travel_Rarely,119,Sales,15,4,Marketing,1,1975,2,Male,77,3,4,Sales Executive,1,Single,18010.350000000002,25098,0,Y,No,12,3,1,80,0,21.0,3,3,20,8,11,10
46,0,Non-Travel,335,Research & Development,23,2,Life Sciences,1,1976,4,Male,37,2,2,Research Scientist,3,Single,5848.200000000001,14811,1,Y,No,12,3,4,80,0,20.0,2,3,20,9,3,7
35,0,Non-Travel,697,Research & Development,10,3,Medical,1,1979,3,Female,40,3,3,Research Director,3,Married,14891.85,26862,4,Y,No,20,4,3,80,1,13.0,2,4,11,7,4,8
58,0,Travel_Rarely,157,Research & Development,10,3,Medical,1,1980,3,Female,77,3,2,Manufacturing Director,1,Single,5994.0,25198,6,Y,Yes,19,3,4,80,0,9.0,3,3,5,2,1,4
28,0,Travel_Rarely,771,Research & Development,1,2,Life Sciences,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,6232.950000000001,14120,1,Y,No,12,3,2,80,0,4.0,2,2,4,3,1,2
27,0,Travel_Rarely,571,Research & Development,12,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,3573.4500000000003,13672,1,Y,No,13,3,3,80,0,5.0,6,4,5,2,1,4
44,0,Travel_Frequently,692,Research & Development,11,3,Technical Degree,1,1985,4,Female,73,3,2,Laboratory Technician,3,Married,8536.050000000001,26849,1,Y,No,11,3,1,80,1,10.0,2,4,10,9,9,4
44,0,Travel_Rarely,444,Sales,2,2,Marketing,1,1986,2,Female,92,3,2,Sales Executive,2,Married,7663.950000000001,4258,3,Y,No,14,3,3,80,1,15.0,4,3,11,8,5,10
29,0,Travel_Rarely,309,Human Resources,2,3,Human Resources,1,1987,3,Female,82,3,1,Human Resources,2,Married,2952.4500000000003,19655,4,Y,No,14,3,3,80,0,6.0,3,3,2,0,1,2
34,0,Travel_Rarely,911,Research & Development,1,2,Medical,1,1989,4,Male,76,3,1,Laboratory Technician,2,Married,5059.8,4077,1,Y,No,13,3,3,80,0,12.0,6,2,12,8,1,7
29,0,Travel_Rarely,977,Research & Development,2,1,Other,1,1992,4,Male,57,3,1,Laboratory Technician,3,Divorced,5368.950000000001,7298,6,Y,Yes,19,3,3,80,1,7.0,2,2,2,2,0,2
51,0,Travel_Rarely,1180,Research & Development,25,3,Medical,1,1993,1,Male,84,3,3,Healthcare Representative,3,Single,11654.550000000001,13084,2,Y,No,23,4,2,80,0,25.0,3,3,17,14,12,11
37,0,Non-Travel,1313,Research & Development,1,2,Medical,1,1994,2,Male,59,2,1,Laboratory Technician,3,Divorced,2710.8,20439,1,Y,No,12,3,3,80,3,1.0,2,2,1,1,0,0
42,0,Travel_Rarely,1321,Sales,1,4,Life Sciences,1,1995,4,Male,86,3,2,Sales Executive,2,Married,5994.0,7636,0,Y,No,15,3,1,80,2,,3,3,15,13,5,8
35,0,Travel_Rarely,1154,Sales,2,2,Life Sciences,1,1996,1,Male,54,3,1,Sales Representative,3,Married,4140.45,6393,0,Y,No,19,3,3,80,1,3.0,1,3,2,2,1,2
42,0,Travel_Frequently,508,Research & Development,6,4,Life Sciences,1,1997,1,Male,72,2,2,Manufacturing Director,3,Married,7183.35,14284,2,Y,No,11,3,4,80,1,10.0,1,3,8,3,7,7
46,0,Travel_Rarely,557,Research & Development,18,4,Life Sciences,1,1998,4,Male,35,3,2,Research Scientist,1,Divorced,7303.500000000001,11189,6,Y,Yes,17,3,3,80,1,9.0,3,2,4,3,1,2
45,0,Travel_Rarely,642,Research & Development,1,3,Life Sciences,1,1999,4,Male,76,3,1,Research Scientist,4,Married,3755.7000000000003,21412,3,Y,No,22,4,1,80,1,12.0,3,3,5,3,1,0
51,0,Non-Travel,1162,Research & Development,1,1,Medical,1,2000,3,Female,98,3,3,Research Director,2,Married,16141.95,17231,0,Y,No,18,3,1,80,2,14.0,3,1,13,8,5,12
39,0,Travel_Rarely,1490,Research & Development,11,4,Medical,1,2003,4,Male,43,3,1,Laboratory Technician,3,Married,3591.0000000000005,20232,7,Y,Yes,11,3,3,80,1,,3,3,2,2,2,2
26,0,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,4556.25,17624,0,Y,No,12,3,4,80,0,4.0,2,4,3,2,1,2
39,0,Travel_Rarely,1395,Research & Development,9,4,Medical,1,2008,2,Male,48,3,2,Research Scientist,3,Single,6882.3,18698,1,Y,No,19,3,2,80,0,10.0,5,3,10,7,0,8
37,0,Travel_Rarely,501,Research & Development,15,2,Medical,1,2009,2,Female,95,3,2,Healthcare Representative,4,Married,6585.3,21653,0,Y,Yes,13,3,1,80,1,10.0,6,3,9,7,8,1
36,0,Travel_Rarely,267,Research & Development,29,4,Life Sciences,1,2010,3,Female,49,2,1,Laboratory Technician,2,Single,3829.9500000000003,15919,1,Y,No,13,3,3,80,0,,3,3,6,2,4,1
44,0,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,2012,1,Male,83,3,1,Laboratory Technician,4,Married,3248.1000000000004,4060,8,Y,No,19,3,3,80,2,8.0,3,2,1,0,0,0
36,0,Travel_Rarely,234,Sales,1,4,Medical,1,2013,2,Male,68,2,1,Sales Representative,2,Married,3063.15,18024,0,Y,No,14,3,2,80,1,3.0,2,3,2,2,2,2
43,0,,116,Research & Development,24,1,Life Sciences,1,2014,1,Male,52,3,2,Research Scientist,4,Single,5545.8,5340,7,Y,No,13,3,1,80,0,18.0,2,3,7,7,1,7
42,0,Travel_Rarely,201,Research & Development,10,3,Medical,1,2015,2,Female,99,1,3,Research Director,3,Married,17828.100000000002,3376,3,Y,No,12,3,1,80,1,20.0,3,3,18,16,1,11
36,0,Travel_Rarely,801,Sales,1,4,Marketing,1,2016,3,Female,48,3,3,Sales Executive,4,Married,14069.7,24032,1,Y,No,19,3,3,80,2,14.0,3,3,14,10,5,7
41,0,,161,Research & Development,10,3,Life Sciences,1,2017,3,Female,42,4,3,Research Director,4,Married,18554.4,15471,1,Y,Yes,25,4,1,80,1,16.0,2,3,16,11,6,8
29,0,Travel_Rarely,1382,Sales,8,2,Other,1,2018,1,Female,85,3,2,Sales Executive,3,Divorced,6624.450000000001,13684,0,Y,Yes,22,4,2,80,1,6.0,3,2,5,3,0,4
56,0,Non-Travel,585,Sales,29,4,Life Sciences,1,2019,1,Male,40,3,1,Sales Representative,4,Divorced,4700.700000000001,19788,2,Y,No,15,3,2,80,2,16.0,3,2,9,8,0,0
48,0,Travel_Rarely,1037,Research & Development,1,3,Medical,1,2020,2,Male,42,3,1,Research Scientist,4,Single,3288.6000000000004,13422,6,Y,Yes,12,3,3,80,0,,2,3,4,3,1,2
25,0,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,3213.0,25479,1,Y,Yes,11,3,4,80,0,2.0,6,3,2,2,1,2
43,0,Non-Travel,105,Research & Development,9,3,Life Sciences,1,2022,4,Male,87,3,5,Manager,4,Single,26231.850000000002,15302,2,Y,No,13,3,3,80,0,21.0,3,2,6,0,1,3
27,1,Travel_Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,33,3,1,Sales Representative,1,Married,2416.5,26956,1,Y,No,19,3,1,80,1,1.0,3,2,1,0,1,0
40,0,Travel_Rarely,557,Sales,3,3,Medical,1,2024,1,Female,94,2,3,Sales Executive,4,Married,10319.400000000001,12695,0,Y,No,19,3,3,80,2,10.0,2,3,9,7,3,4
40,0,Travel_Frequently,688,Research & Development,4,2,Life Sciences,1,2025,4,Female,97,3,2,Manufacturing Director,2,Divorced,6926.85,9192,7,Y,No,13,3,2,80,3,18.0,3,3,4,2,0,2
60,0,,667,Research & Development,1,4,Life Sciences,1,2026,3,Male,57,3,2,Healthcare Representative,3,Divorced,8513.1,26236,1,Y,No,21,4,1,80,1,13.0,2,2,13,12,1,9
33,1,Travel_Rarely,1092,Research & Development,1,4,Medical,1,2027,1,Male,36,3,1,Research Scientist,4,Married,6462.450000000001,26124,9,Y,Yes,14,3,2,80,3,4.0,3,4,2,2,2,2
46,0,Travel_Rarely,300,Research & Development,2,3,Life Sciences,1,2031,1,Male,56,3,5,Manager,3,Married,25488.0,17312,5,Y,No,11,3,1,80,0,24.0,2,2,22,6,4,14
